Fold Assignments,GuthrieZone,Cultural.pos1,Cultural.pos2,Cultural.pos3,Cultural.pos4,Cultural.pos5,Cultural.pos6,Cultural.pos7,Cultural.pos8,Cultural.pos9,Cultural.pos10,Cultural.pos11,Cultural.pos12,Cultural.pos13,Cultural.pos14,Cultural.pos15,Cultural.pos16,Cultural.pos17,Cultural.pos18,Cultural.pos19,Cultural.pos20,Cultural.pos21,Cultural.pos22,Cultural.pos23,Cultural.pos24,Cultural.pos25,Cultural.pos26,Cultural.pos27,Cultural.pos28,Cultural.pos29,Cultural.pos30,Cultural.pos31,Cultural.pos32,Cultural.pos33,Cultural.pos34,Cultural.pos35,Cultural.pos36,Cultural.pos37,Cultural.pos38,Cultural.pos39,Cultural.pos40,Cultural.pos41,Cultural.pos42,Cultural.pos43,Cultural.pos44,Cultural.pos45,Cultural.pos46,Cultural.pos47,Cultural.pos48,Cultural.pos49,Cultural.pos50,Cultural.pos51,Cultural.pos52,Cultural.pos53,Cultural.pos54,Cultural.pos55,Cultural.pos56,Cultural.pos57,Cultural.pos58,Cultural.pos59,Cultural.pos60,Cultural.pos61,Cultural.pos62,Cultural.pos63,Cultural.pos64,Cultural.pos65,Cultural.pos66,Cultural.pos67,Cultural.pos68,Cultural.pos69,Cultural.pos70,Cultural.pos71,Cultural.pos72,Cultural.pos73,Cultural.pos74,Cultural.pos75,Cultural.pos76,Cultural.pos77,Cultural.pos78,Cultural.pos79,Cultural.pos80,Cultural.pos81,Cultural.pos82,Cultural.pos83,Cultural.pos84,Cultural.pos85,Cultural.pos86,Cultural.pos87,Cultural.pos88,Cultural.pos89,Cultural.pos90,Cultural.pos91,Cultural.pos92,Scored Probabilities for Class "A",Scored Probabilities for Class "B",Scored Probabilities for Class "E",Scored Probabilities for Class "F",Scored Probabilities for Class "G",Scored Probabilities for Class "H",Scored Probabilities for Class "K",Scored Probabilities for Class "L",Scored Probabilities for Class "M",Scored Probabilities for Class "N",Scored Probabilities for Class "R",Scored Probabilities for Class "S",Scored Labels
2,S,2,3,2,1,5,3,2,5,5,3,1,A,3,1,3,3,1,7,1,7,4,1,7,8,F,6,4,5,6,3,2,2,4,2,0,0,1,0,1,7,2,7,5,1,9,1,6,1,3,5,1,2,1,5,3,5,5,5,5,5,5,5,5,5,5,4,6,1,9,4,1,1,1,7,2,7,2,0,2,2,2,4,8,5,2,0,8,8,6,3,6,0,0,0,0,0,0,0,0,0,0,0,1,0,R
1974655623296,S,2,3,2,1,5,3,2,5,5,3,1,A,3,1,3,3,1,7,1,7,4,1,7,8,F,6,4,5,6,3,2,2,4,2,0,0,1,0,1,7,2,7,5,1,9,1,6,1,3,5,1,2,1,5,3,5,5,5,5,5,5,5,5,5,5,4,6,1,9,4,1,1,1,7,2,7,2,0,2,2,2,4,8,5,2,0,8,8,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,1,S
0,R,2,2,2,1,6,1,8,5,5,5,1,8,3,1,6,2,3,7,3,7,9,3,1,4,2,2,5,3,6,7,4,3,3,2,6,0,1,2,1,7,1,6,2,1,9,8,6,1,1,6,1,2,1,5,3,5,5,5,5,5,5,5,5,5,5,4,6,1,9,4,1,1,1,7,0,2,5,0,2,2,2,4,8,0,0,0,0,0,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,1,S
0,R,2,4,1,1,1,1,8,7,5,5,1,A,3,1,4,3,5,4,4,7,9,3,1,4,3,3,5,1,1,1,0,3,1,0,0,0,A,2,1,7,2,4,2,1,9,1,0,9,0,6,1,9,4,9,3,5,5,0,5,0,5,5,5,5,5,2,6,1,9,4,2,1,2,1,5,3,4,0,2,2,0,3,2,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,S
2,R,2,2,2,1,6,1,8,5,5,5,1,8,3,1,6,2,3,7,3,7,9,3,1,4,2,2,5,3,6,7,4,3,3,2,6,0,1,2,1,7,1,6,2,1,9,8,6,1,1,6,1,2,1,5,3,5,5,5,5,5,5,5,5,5,5,4,6,1,9,4,1,1,1,7,0,2,5,0,2,2,2,4,8,0,0,0,0,0,5,3,6,0,0,0,0,0,0,0,0,0,0,1,0,0,N
0,M,1,2,3,1,7,2,8,2,2,3,3,1,2,6,6,1,1,7,4,7,9,3,6,4,F,6,5,3,6,7,2,2,2,2,0,0,1,0,1,3,1,6,3,9,0,0,6,0,0,0,1,2,2,5,5,0,0,5,0,0,0,5,5,5,5,4,6,1,9,4,2,2,4,3,4,3,4,6,2,2,2,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S
0,S,2,3,2,1,5,3,2,5,5,3,1,A,3,1,3,3,1,7,1,7,4,1,7,8,F,6,4,5,6,3,2,2,4,2,0,0,1,0,1,7,2,7,5,1,9,1,6,1,3,5,1,2,1,5,3,5,5,5,5,5,5,5,5,5,5,4,6,1,9,4,1,1,1,7,2,7,2,0,2,2,2,4,8,5,2,0,8,8,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,1,S
1,S,2,3,2,1,5,3,2,5,5,3,1,A,3,1,3,3,1,7,1,7,4,1,7,8,F,6,4,5,6,3,2,2,4,2,0,0,1,0,1,7,2,7,5,1,9,1,6,1,3,5,1,2,1,5,3,5,5,5,5,5,5,5,5,5,5,4,6,1,9,4,1,1,1,7,2,7,2,0,2,2,2,4,8,5,2,0,8,8,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,1,S
0,R,2,2,2,1,6,1,8,5,5,5,1,8,3,1,6,2,3,7,3,7,9,3,1,4,2,2,5,3,6,7,4,3,3,2,6,0,1,2,1,7,1,6,2,1,9,8,6,1,1,6,1,2,1,5,3,5,5,5,5,5,5,5,5,5,5,4,6,1,9,4,1,1,1,7,0,2,5,0,2,2,2,4,8,0,0,0,0,0,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,1,S
0,M,1,2,3,1,7,2,8,2,2,3,3,1,2,6,6,1,1,7,4,7,9,3,6,4,F,6,5,3,6,7,2,2,2,2,0,0,1,0,1,3,1,6,3,9,0,0,6,0,0,0,1,2,2,5,5,0,0,5,0,0,0,5,5,5,5,4,6,1,9,4,2,2,4,3,4,3,4,6,2,2,2,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S
0,R,2,2,2,1,6,1,8,5,5,5,1,8,3,1,6,2,3,7,3,7,9,3,1,4,2,2,5,3,6,7,4,3,3,2,6,0,1,2,1,7,1,6,2,1,9,8,6,1,1,6,1,2,1,5,3,5,5,5,5,5,5,5,5,5,5,4,6,1,9,4,1,1,1,7,0,2,5,0,2,2,2,4,8,0,0,0,0,0,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,1,S
0,S,2,3,2,1,5,3,2,5,5,3,1,A,3,1,3,3,1,7,1,7,4,1,7,8,F,6,4,5,6,3,2,2,4,2,0,0,1,0,1,7,2,7,5,1,9,1,6,1,3,5,1,2,1,5,3,5,5,5,5,5,5,5,5,5,5,4,6,1,9,4,1,1,1,7,2,7,2,0,2,2,2,4,8,5,2,0,8,8,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,1,S
0,R,2,2,2,1,6,1,8,5,5,5,1,8,3,1,6,2,3,7,3,7,9,3,1,4,2,2,5,3,6,7,4,3,3,2,6,0,1,2,1,7,1,6,2,1,9,8,6,1,1,6,1,2,1,5,3,5,5,5,5,5,5,5,5,5,5,4,6,1,9,4,1,1,1,7,0,2,5,0,2,2,2,4,8,0,0,0,0,0,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,1,S
1,S,2,3,2,1,5,3,2,5,5,3,1,A,3,1,3,3,1,7,1,7,4,1,7,8,F,6,4,5,6,3,2,2,4,2,0,0,1,0,1,7,2,7,5,1,9,1,6,1,3,5,1,2,1,5,3,5,5,5,5,5,5,5,5,5,5,4,6,1,9,4,1,1,1,7,2,7,2,0,2,2,2,4,8,5,2,0,8,8,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,1,S
2,S,2,3,2,1,5,3,2,5,5,3,1,A,3,1,3,3,1,7,1,7,4,1,7,8,F,6,4,5,6,3,2,2,4,2,0,0,1,0,1,7,2,7,5,1,9,1,6,1,3,5,1,2,1,5,3,5,5,5,5,5,5,5,5,5,5,4,6,1,9,4,1,1,1,7,2,7,2,0,2,2,2,4,8,5,2,0,8,8,6,3,6,0,0,0,0,0,0,0,0,0,0,0,1,0,R
0,S,2,3,2,1,5,3,2,5,5,3,1,A,3,1,3,3,1,7,1,7,4,1,7,8,F,6,4,5,6,3,2,2,4,2,0,0,1,0,1,7,2,7,5,1,9,1,6,1,3,5,1,2,1,5,3,5,5,5,5,5,5,5,5,5,5,4,6,1,9,4,1,1,1,7,2,7,2,0,2,2,2,4,8,5,2,0,8,8,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,1,S
