Class,Predicted as "A",Predicted as "B",Predicted as "C",Predicted as "H",Predicted as "K",Predicted as "L",Predicted as "M",Predicted as "N",Predicted as "R",Predicted as "S",Predicted as "Z",Average Log Loss,Precision,Recall
A,0,0,0,27,0,0,0,0,42,63,0,3.88114100143894,0,0
B,0,190,0,66,0,0,0,0,3,109,0,3.05127651679085,0.85972850678733,0.516304347826087
C,0,19,263,9,0,0,0,0,0,118,0,2.62639808351202,0.876666666666667,0.643031784841076
H,0,12,0,393,0,0,0,0,0,194,0,2.69864431354345,0.790744466800805,0.656093489148581
K,0,0,0,0,805,0,0,0,205,3055,0,1.70409256560632,0.633359559402046,0.198031980319803
L,0,0,0,0,11,0,0,0,40,651,0,3.0292439079301,0,0
M,0,0,0,0,34,0,1541,0,215,1659,0,1.71379210423585,1,0.446796172803711
N,0,0,0,0,0,0,0,0,1,11,0,7.05343175288152,0,0
R,0,0,37,0,66,0,0,0,2386,3513,0,1.27627442755244,0.740533829919305,0.397534155281573
S,0,0,0,2,355,0,0,0,330,7925,0,0.629657832211173,0.455041341295361,0.920227589410125
Z,0,0,0,0,0,0,0,0,0,118,18,2.80525141675241,1,0.132352941176471
